Pcgs_no,Country,Coin_date,Denomination,Variety,Prefix,Suffix,Qty_Minted,Reference_no,RowLastUpdated,coin_no,Service,Coin_date_Denomination_Variety
460,,1776',1/2P,MACHIN'S MILLS,MS,BN,0,460,,460,PCGS,1776'-1/2P-MACHIN'S MILLS
463,,1776',1/2P,"MACHIN'S MILLS, ",MS,BN,0,463,,463,PCGS,"1776'-1/2P-MACHIN'S MILLS, "
465,,1777',1/2 P,MACHIN'S,MS,BN,0,465,1/1/1900,465,PCGS,1777'-1/2 P-MACHIN'S
466,,1778',1/2P,MACHIN'S MILLS,MS,BN,0,466,,466,PCGS,1778'-1/2P-MACHIN'S MILLS
469,,1787',1/2P,MACHIN'S MILLS,MS,BN,0,469,,469,PCGS,1787'-1/2P-MACHIN'S MILLS
472,,1788',1/2P,MACHIN'S MILLS,MS,BN,0,472,,472,PCGS,1788'-1/2P-MACHIN'S MILLS
475,,1787,COPPER,"NOVA EBOR, SEATE",MS,BN,0,475,,475,PCGS,"1787-COPPER-NOVA EBOR, SEATE"
478,,1787,COPPER,NOVA EBORAC STD ,MS,BN,0,478,,478,PCGS,1787-COPPER-NOVA EBORAC STD 
481,,1787,COPPER,"NOVA EBORAC, SM ",MS,BN,0,481,,481,PCGS,"1787-COPPER-NOVA EBORAC, SM "
484,,1787,COPPER,"NOVA EBORAC, LG ",MS,BN,0,484,,484,PCGS,"1787-COPPER-NOVA EBORAC, LG "
487,,1787,$15 ,BRASHER-WING PUN,MS,,0,487,,487,PCGS,1787-15-BRASHER-WING PUN
488,,1787,$15 ,BRASHER-BREAST P,MS,,0,488,,488,PCGS,1787-15-BRASHER-BREAST P
489,,1787,1/2DB,BRASHER,MS,,0,489,,489,PCGS,1787-1/2DB-BRASHER
491,,LIMA,DBLN,"BRASHER, '1742'",MS,,0,491,,491,PCGS,"LIMA-DBLN-BRASHER, '1742'"
492,,1786,NJERSY,DATE BELOW,MS,BN,0,492,,492,PCGS,1786-NJERSY-DATE BELOW
493,,(1784-95),$8 ,BRASHER-ON BRAZI,MS,,0,493,,,,(1784-95)-8-BRASHER-ON BRAZI
494,,1786,NJERSY,NO COULTER,MS,BN,0,494,,494,PCGS,1786-NJERSY-NO COULTER
495,,(1784-95),$8 ,BRASHER-ON BRAZI,MS,,0,495,,,,(1784-95)-8-BRASHER-ON BRAZI
496,,1786,NJERSY,NARROW SHIELD,MS,BN,0,496,,496,PCGS,1786-NJERSY-NARROW SHIELD
498,,1786,NJERSY,WIDE SHIELD,MS,BN,0,498,,498,PCGS,1786-NJERSY-WIDE SHIELD
500,,1787 WM,NJERSY,"LG PLAN, PLAIN S",MS,BN,0,500,,500,PCGS,"1787 WM-NJERSY-LG PLAN, PLAIN S"
501,,1786,NJERSY,BRIDLE,MS,BN,0,501,,501,PCGS,1786-NJERSY-BRIDLE
502,,1786,NJERSY,BRIDLE,MS,RB,0,502,,,,1786-NJERSY-BRIDLE
503,,1787,NJERSY,OUTLINE,MS,BN,0,503,,503,PCGS,1787-NJERSY-OUTLINE
504,,1787,NJERSY,OUTLINE,MS,RB,0,504,,,,1787-NJERSY-OUTLINE
